FileName;River;Position;Time;Replicate;36G;37G;42G;59G;61G;62G;63G;64G;65G;71G;74G;75G;76G;78G;79G;86G;87G;89G;89G;90G;91G;100G;102G;103G;104G;106G;116G;123G;124G;125G;128G;129G;141G;142G;145G;146G;147G;148G;153G;154G;155G;157G;158G;158G;159G;160G;161G;163G;164G;165G;166G;167G;172G;173G;175G;176G;177G;178G;180G;181G;188G;190G;191G;199G;203G;206G;207G;208G;222G;225G;232G;264G;271G;282G;286G;291G;297G;308G;322G;424G;426G;428G;464G;477G;477G;479G;480G;487G;488G;494G
RCARam-T21-L2;RCAR;am;T21;L2;0;0;0;0;0;18.47;0;0;0;0;0;0;0;0;0;0;0;3.42;0;5.24;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.47;0;0;0;6.23;2.01;7.51;40.62;0;0;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARam-T21-L3;RCAR;am;T21;L3;0.63;0;0.47;0;0;3.92;0;0;0;0;0;0;0;0;0;0;0.48;0;0;7.71;1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.3;0;0;0;14.42;3.23;13.87;37.96;0;0;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T07-L1;RCAR;av;T07;L1;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.97;0;0;0;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73.75;0;0;3.39;3.26;3.11;1.27;1.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T07-L2;RCAR;av;T07;L2;0.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.32;0;0.86;0;12.04;0;0;0;0;0;0;0;0;0;0;0;0;0.47;0;0;0;0;0;0;68.48;0;0;2.85;7.22;3.7;2.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T07-L3;RCAR;av;T07;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73.76;0;0;5.13;4.49;3.01;2.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T14-L1;RCAR;av;T14;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;0;0;0;12.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.78;0;0;0;5.94;23.54;0;3.42;0;0;4.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T14-L2;RCAR;av;T14;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.5;0;0;0;21.47;0;8.32;8.29;1.13;0;20.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T14-L3;RCAR;av;T14;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.83;0.68;0;0;7.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.08;0;0;0;44.71;0;13.57;2.4;0;0;6.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T21-L1;RCAR;av;T21;L1;0.39;0;0.38;0;0;0;0;0;0;0;0;0;0;0;0;1.42;0;2.8;0;8.87;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0.39;0;0;0;0;0;59.01;0;0;0;6.65;0;6.02;1.17;0.53;0;10.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33;0;0;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T21-L2;RCAR;av;T21;L2;0;0;0.42;0;0;0;0;0;0;0;0;0;0;0;0;1.52;0;7.66;0;9;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.88;0;0;0;9.63;5.42;0;2.19;1.13;0;30.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCARav-T21-L3;RCAR;av;T21;L3;0;0;0.52;0;0;0;0;0;0;0;0;0;0;0;0;2.25;0;1.31;0;10.81;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.89;0;0;0;12.99;0;8.63;4.35;0;0;25.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RGAam-T07-L1;RGA;am;T07;L1;0.82;0;0;0;0;83.93;0;0;0;0;0;0;0;0;0;0;0;0.97;0;2.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.88;3.01;0;3.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
